match_number,home_goals,away_goals,extra_time,penalty_winner,comeback_home,comeback_away,home_hat_tricks,away_hat_tricks,home_red_cards,away_red_cards,home_shirt_off,away_shirt_off,home_gk_goals,away_gk_goals,home_first_eliminated,away_first_eliminated
1,2,0,0,,0,0,0,0,1,2,0,0,0,0,0,0
2,2,1,0,,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
10,7,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
12,5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
15,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
17,3,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
18,1,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
19,3,0,0,,0,0,1,0,0,0,0,0,0,0,0,0
20,3,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
22,4,2,0,,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
24,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
26,4,1,0,,0,0,0,0,0,1,0,0,0,0,0,0
27,3,0,0,,0,0,0,0,0,2,0,0,0,0,0,0
28,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
